Section;N°;Contrôle;Android (OK/KO/N/A);iOS (OK/KO/N/A);Notes
Préparation;0.1;Installer le build preview (pas l'ancienne APK);;;
Préparation;0.2;Connexion admin;;;
Préparation;0.3;Connexion technicien (droits limités);;;
Préparation;0.4;Orientation portrait OK;;;
Préparation;0.5;Barre nav / home indicator ne coupe aucun bouton;;;
Login & navigation;1.1;Login email/mdp OK;;;
Login & navigation;1.2;Mauvais mdp -> message d'erreur;;;
Login & navigation;1.3;Menu latéral ouvre/ferme;;;
Login & navigation;1.4;Entrées menu selon rôle;;;
Login & navigation;1.5;Cloche notifications;;;
Dashboard;2.1;Écran charge sans crash;;;
Dashboard;2.2;Cartes / chiffres affichés;;;
Véhicules;3.1;Liste + filtres état;;;
Véhicules;3.2;Ouvrir fiche véhicule;;;
Véhicules;3.3;Nouveau véhicule - tous les champs visibles;;;
Véhicules;3.4;Boutons Annuler/Enregistrer au-dessus barre système;;;
Véhicules;3.5;Changer état - modal centré;;;
Véhicules;3.6;Photos caméra/galerie;;;
Véhicules;3.7;Fiche financière;;;
Véhicules;3.8;Ordre réparation / suivi;;;
Véhicules;3.9;Archives véhicules;;;
Calendrier;4.1;Grille mois/jour;;;
Calendrier;4.2;Nouvelle affectation - champs Équipe/Véhicule/Travail/Client;;;
Calendrier;4.3;Modal centré;;;
Calendrier;4.4;Enregistrer RDV;;;
Calendrier;4.5;Détail / modifier / supprimer;;;
Calendrier;4.6;Changer statut RDV;;;
Chat;5.1;Liste conversations (pas 500);;;
Chat;5.2;Nouvelle conversation - modal centré;;;
Chat;5.3;Clic nom -> ouvre le fil;;;
Chat;5.4;Champ message entièrement visible;;;
Chat;5.5;Envoyer un message;;;
Chat;5.6;Créer un groupe;;;
Chat;5.7;Retour depuis le fil;;;
Clients & contacts;6.1;Liste clients;;;
Clients & contacts;6.2;Fiche client centrée + boutons;;;
Clients & contacts;6.3;Formulaire nouveau client;;;
Clients & contacts;6.4;Contacts importants;;;
Équipe & utilisateurs;7.1;Membres équipe - fiche centrée;;;
Équipe & utilisateurs;7.2;Formulaire membre;;;
Équipe & utilisateurs;7.3;Nouveau compte - Identité/Rôle/Accès;;;
Équipe & utilisateurs;7.4;Boutons Créer/Annuler visibles;;;
Équipe & utilisateurs;7.5;Modifier permissions;;;
Stock & produits;8.1;Stock général;;;
Stock & produits;8.2;Fiche produit centrée;;;
Stock & produits;8.3;Nouveau produit - form + footer;;;
Stock & produits;8.4;Modifier produit stock;;;
Stock & produits;8.5;Catalogue produits;;;
Devis;9.1;Liste demandes;;;
Devis;9.2;Nouvelle demande - champs visibles;;;
Devis;9.3;Créer demande;;;
Devis;9.4;Détail + Modifier;;;
Finance;10.1;Facturation vente;;;
Finance;10.2;Paiement vente - modal OK;;;
Finance;10.3;Facturation achat;;;
Finance;10.4;Paiement achat - modal OK;;;
Finance;10.5;Paiements vente/achat;;;
Finance;10.6;Caisse;;;
Finance;10.7;Money / trésorerie;;;
Finance;10.8;Transactions fournisseurs;;;
Finance;10.9;Dettes clients;;;
Finance;10.10;Fournisseurs;;;
Réclamations;11.1;Liste;;;
Réclamations;11.2;Formulaire;;;
Checklists;12.1;Checklist du jour;;;
Checklists;12.2;Modèles admin;;;
Checklists;12.3;Détail / validation;;;
Statistiques;13.1;Écran charge;;;
Statistiques;13.2;Filtres période;;;
Autres;14.1;Documents;;;
Autres;14.2;Outils Ahmed;;;
Autres;14.3;Clavier ne cache pas Enregistrer;;;
Autres;14.4;Retour app après arrière-plan;;;
